Company Name,GICS Sector Name,Year,ESG,E,S,G,ROE,ROA,Q_Ratio
Banco Comercial Portugues SA,Financials,2004,21.0671923711718,25.8145363408521,34.8128878451045,10.5555555555556,0.18350000000000002,0.0102,0.08497715471954971
Banco Santander SA,Financials,2004,48.538512337755,32.8636985983477,53.6705157859243,58.0634920634921,0.15380000000000002,0.0070999999999999995,0.04341214696338087
Banco de Sabadell SA,Financials,2004,46.1775516025837,35.6139190569015,58.0544595162178,44.3650793650794,0.1355,0.0092,0.032366758782530175
Bank of America Corp,Financials,2004,24.361914417325,84.8014132553606,41.8139171690044,48.2270693512304,0.16949999999999998,0.013300000000000001,0.14347553251993533
Bank of New York Mellon Corp,Financials,2004,40.193929067073,26.4756944444445,69.9162679425837,27.1532438478747,0.15927,0.01539,0.24013075138907927
Bank of Nova Scotia,Financials,2004,71.6946434385632,86.8957695163836,77.4094635162442,73.8061797752809,0.19510000000000002,0.01,0.03878609625237401
Bankinter SA,Financials,2004,34.5548872180451,25.8145363408521,26.8675721561969,58.968253968254,0.1438,0.0055000000000000005,0.034241493559096815
Barclays PLC,Financials,2004,57.3709779298973,88.7145525851666,60.9889286784323,51.2072119153384,0.16735,0.004699999999999999,0.03577255432060764
Beazley PLC,Financials,2004,14.2011982738472,34.4444444444444,19.4716242661448,10.749063670412,0.03978,0.009399999999999999,0.038139992240745574
Brookfield Corp,Financials,2004,32.5887682789354,26.4756944444445,32.5956937799043,42.3595505617978,0.26890000000000003,0.0466,0.02683985289450333
Brown & Brown Inc,Financials,2004,34.1547914559775,28.3333333333333,18.1409001956947,64.2225950782998,0.19699999999999998,0.09359999999999999,2.6390011046958337
CGI Inc,Information Technology,2004,11.5180173241032,0.0,18.7724014336918,8.72659176029963,0.1063,0.0674,0.2572341120856959
CME Group Inc,Financials,2004,17.2483695669355,26.4756944444445,14.7727272727273,24.513422818792,0.2743,0.07730000000000001,3.191687877698712
Canadian Imperial Bank of Commerce,Financials,2004,40.4999355358342,89.9160517033324,64.554580787137,76.7275280898876,0.24,0.0070999999999999995,0.02936166179162621
Canon Inc,Information Technology,2004,41.1249740070701,36.5625,35.4958497160332,56.2178554099952,0.16,0.0890451862539273,1.417479177506558
Celestica Inc,Information Technology,2004,18.735263187026,0.0,15.5384615384615,46.5543071161049,0.0583,0.026600000000000002,0.3482617140820313
Chiba Bank Ltd,Financials,2004,13.9934705288499,25.562372188139,6.73857114585395,29.5864978902954,0.09,0.002401146352564241,0.053332861523192505
Chubb Ltd,Financials,2004,40.8028588445503,28.3333333333333,38.1800391389433,57.4637681159421,0.081,0.01529,0.27586808525304296
Cincinnati Financial Corp,Financials,2004,35.3772690590747,28.3333333333333,48.5649054142205,31.7841163310962,0.09234,0.03512,0.4877846404099231
Cisco Systems Inc,Information Technology,2004,35.8490284609613,35.2941176470588,68.5142455858748,52.8827989062888,0.2614,0.1788,3.103633021132721
Citigroup Inc,Financials,2004,39.0997129346648,77.5483268356075,41.9294203250061,27.4581572624078,0.1825,0.0137,0.16468898080649944
Cognizant Technology Solutions Corp,Information Technology,2004,56.6644302631711,0.0,71.2265443811933,61.1241610738255,0.21539999999999998,0.1775,7.9868330014610995
Commerzbank AG,Financials,2004,55.8452113098711,72.1691381230855,52.387706086617,65.4377104377105,0.09444000000000001,0.00268,0.03253208026463494
Commonwealth Bank of Australia,Financials,2004,52.4558932127034,73.7199820839026,49.2988606485539,71.4814814814815,0.156196,0.017554,0.04831460183322109
Corning Inc,Information Technology,2004,38.7404352314095,47.008547008547,52.3717948717949,13.2245836440467,0.2327,0.1168,2.5823813094030514
Credit Agricole SA,Financials,2004,24.750829309045,39.8963264643089,27.4496725685181,25.3000387146728,0.1201,0.0039000000000000003,0.019727652349436256
DBS Group Holdings Ltd,Financials,2004,11.4539682539683,25.8145363408521,7.94930875576038,20.8641975308642,0.048831,0.015939000000000002,0.02453044483836247
Daiwa Securities Group Inc,Financials,2004,65.6549408074862,52.9629629629629,69.1801619433198,74.3745696461391,0.084,0.002350154925022643,0.14122388108246245
Dassault Systemes SE,Information Technology,2004,45.3099234552433,0.0,38.5673624288425,64.7089947089948,0.2011,0.13970000000000002,0.7990654947378848
Deutsche Bank AG,Financials,2004,51.6439410610784,53.3773670286828,56.1505060842507,55.0673400673401,0.1264,0.00385,0.036721530773710216
Dnb Bank ASA,Financials,2004,41.5931161236424,31.2157709087534,38.9825369876303,59.6666666666667,0.1893,0.0102,0.04488806894263912
Erste Group Bank AG,Financials,2004,34.7125506072875,25.8145363408521,36.6723259762309,45.8974358974359,0.11466,0.00487,0.036997542397826086
Everest Group Ltd,Financials,2004,35.6496471564965,28.3333333333333,24.8336594911937,60.1515151515152,-0.0528,-0.013300000000000001,0.3768371060739784
Fifth Third Bancorp,Financials,2004,56.0744263260869,25.8145363408521,57.9462030370971,75.92530449913,0.16723,0.01514,0.19889835795409838
Fiserv Inc,Financials,2004,13.3452140377772,0.0,6.06805293005671,31.9854586129754,0.1782,0.07275000000000001,1.3218059363333088
Fujifilm Holdings Corp,Information Technology,2004,61.7483210976435,59.8098330241188,67.3208523915896,55.315782661593,0.047,0.025189867262990984,0.5383864429979676
Fujitsu Ltd,Information Technology,2004,81.742756980895,74.6783625730994,85.8797355839763,85.8668944629961,0.038,0.012974118154030658,0.6786218240832294
Gen Digital Inc,Information Technology,2004,37.3315438943393,0.0,9.99275099673796,72.0727453911311,0.17129999999999998,0.113,3.3710507557504417
Globe Life Inc,Financials,2004,23.8054304189268,28.3333333333333,9.53033268101761,48.3948545861298,0.153,0.0338,0.3906889709276309
Great-West Lifeco Inc,Financials,2004,30.3076291621775,28.3333333333333,15.9882583170254,57.1161048689139,0.1866,0.0173,0.04217828508986571
Groep Brussel Lambert NV,Financials,2004,28.4680134680134,0.0,33.5365853658537,55.3703703703704,0.05788,0.0562,0.3923281066629879
HP Inc,Information Technology,2004,61.6094819940349,27.2727272727273,83.107476635514,57.7063136962466,0.12664,0.06089000000000001,1.0507653689645227
HSBC Holdings PLC,Financials,2004,47.5424374981886,73.5800728673536,56.2122811773266,36.5406613825741,0.15256,0.0108,0.06031716986866268
Halma PLC,Information Technology,2004,11.8161927338166,3.91737891737892,16.5177832919768,16.9912609238452,0.2023,0.1241,0.31538124884198515
Hang Seng Bank Ltd,Financials,2004,46.4016624895572,73.4367748073888,44.1850594227504,50.0,0.26452000000000003,0.03311,0.10797446481820133
Hannover Rueck SE,Financials,2004,19.4074074074074,28.3333333333333,18.5714285714286,26.8518518518519,0.015880000000000002,0.0013,0.05723085835468027
Hiscox Ltd,Financials,2004,35.9667911996679,28.3333333333333,34.3444227005871,49.8484848484849,0.1027,0.0213,0.138371491751757
Hong Kong Exchanges and Clearing Ltd,Financials,2004,59.5593238080285,26.4756944444445,54.9043062200957,81.3580246913581,0.31819600000000003,0.060334000000000006,0.08967487534529346
Huntington Bancshares Inc,Financials,2004,35.8066659938437,25.8145363408521,15.9895707009459,77.4328859060403,0.1611,0.0126,0.16541165299167812
IGM Financial Inc,Financials,2004,12.4312637935506,26.4756944444445,10.944976076555,17.4157303370787,0.1981,0.1003,0.7296890799720018
ING Groep NV,Financials,2004,74.084120449051,87.7665808038615,82.9779387841103,79.0606060606061,0.2186,0.0070999999999999995,0.07239305566924077
Industrivarden AB,Financials,2004,23.6960514233241,0.0,32.7235772357724,42.8030303030303,0.33668,0.2904,0.3401129029551357
Infineon Technologies AG,Information Technology,2004,42.3987035891798,27.1990740740741,30.8513708513708,79.6913580246914,-0.04032,-0.022099999999999998,0.2145734954789291
Insurance Australia Group Ltd,Financials,2004,50.3901584415675,40.0,41.3111545988258,73.8901601830664,0.24069700000000002,0.04828299999999999,0.3711573796104
Intel Corp,Information Technology,2004,51.0088935128884,74.5601851851852,42.8138528138528,36.269160659541,0.2395,0.1793,3.1147046404768806
International Business Machines Corp,Information Technology,2004,41.5985478275017,42.8787878787879,81.9866118490407,53.1127268207805,0.2616,0.0819,1.2277892422854333
Intesa Sanpaolo SpA,Financials,2004,30.0845298324722,25.8145363408521,40.9538331875878,27.1428571428572,0.18609,0.011040000000000001,0.037579827960815534
Intuit Inc,Information Technology,2004,39.6802372615896,0.0,38.0882352941177,48.9429530201343,0.2288,0.14279999999999998,3.4718896146847444
Investec PLC,Financials,2004,39.7465879590232,41.8518518518519,57.1356275303644,32.3198198198198,0.22655999999999998,0.009000000000000001,0.07827731117762995
Investor AB,Financials,2004,29.159779614325,0.0,56.7073170731707,41.439393939394,0.0392,0.0308,0.15569034975332885
JPMorgan Chase & Co,Financials,2004,33.1570676158394,25.8145363408521,48.1102441390652,27.6429281630624,0.09820000000000001,0.0088,0.11583368516888974
Jabil Inc,Information Technology,2004,29.9799704653905,0.0,24.1666666666666,75.251677852349,0.1244,0.06509999999999999,1.863529413593882
Juniper Networks Inc,Information Technology,2004,19.8374124598775,0.0,26.8609550561798,24.1331096196868,0.062400000000000004,0.0536,1.5388821389481977
Jyske Bank A/S,Financials,2004,13.3056169836356,25.8145363408521,10.4596167838952,22.5490196078432,0.19808,0.0127,0.02977307878788031
KLA Corp,Information Technology,2004,21.7422824325988,11.2037037037037,36.031746031746,10.8109619686801,0.1532,0.11710000000000001,2.4101129315723417
Kbc Groep NV,Financials,2004,53.1667870657035,87.127250997865,68.3390164215092,30.037037037037,0.1425,0.0073,0.07278932763749497
KeyCorp,Financials,2004,23.9519957612151,25.8145363408521,16.2988115449915,44.0771812080537,0.1499,0.0121,0.14419638336458132
Keyence Corp,Information Technology,2004,18.5953947909535,0.0,14.7963800904977,46.8850072780204,0.121,0.01670493419859572,0.6630487495935082
Kinnevik AB,Financials,2004,22.7869605142332,0.0,29.0650406504065,42.8030303030303,0.1887,0.12041,0.6273728201575648
Lloyds Banking Group PLC,Financials,2004,58.8612021390827,86.5430358303165,60.541652993965,56.8315768080597,0.2235,0.0084,0.04401720817171315
Logitech International SA,Information Technology,2004,31.835592891588,0.0,25.8051761322789,69.119496855346,0.3037,0.15839999999999999,1.2494468616880028
M&T Bank Corp,Financials,2004,30.9626431851441,25.8145363408521,31.3424690759156,42.8243847874721,0.13311,0.014199999999999999,0.22221595759567722
Manulife Financial Corp,Financials,2004,60.5916462868903,70.5555555555555,61.0502283105023,66.1797752808989,0.1384,0.023399999999999997,0.06832636306707794
Marsh & McLennan Companies Inc,Financials,2004,21.17668398149,28.3333333333333,26.4774951076321,59.3680089485459,0.13470000000000001,0.0405,0.9668936810596915
Marvell Technology Inc,Information Technology,2004,28.0659035367555,0.0,32.1099887766554,55.0722471350274,0.14101,0.12226000000000001,0.796445019762924
Mediobanca Banca di Credito Finanziario SpA,Financials,2004,20.1340929009641,25.562372188139,16.3417771620819,33.4126984126984,0.1099,0.0171,0.1431332818765408
MetLife Inc,Financials,2004,39.2962281947296,28.3333333333333,64.8075668623614,22.6317424807358,0.1124,0.0072,0.07704135674615122
Microchip Technology Inc,Information Technology,2004,20.2704171762468,0.0,27.5757575757576,32.5411061285501,0.1527,0.12369999999999999,3.7178110078435025
Micron Technology Inc,Information Technology,2004,28.7274539671472,10.9490740740741,28.1240981240981,51.0570469798658,0.0322,0.0235,1.0273612411982913
Microsoft Corp,Information Technology,2004,27.3644981746131,14.1414141414141,53.0407969639469,57.5534427044494,0.29469999999999996,0.2002,3.9307806350342442
Mitsubishi UFJ Financial Group Inc,Financials,2004,38.0068975292636,25.8145363408521,22.9889732198317,73.901018922853,0.079,0.0011779350304441847,0.05090832280994249
Mizuho Financial Group Inc,Financials,2004,51.924243331907,72.4116425322566,43.5201398460747,66.6666666666667,0.544,0.0031649982028632527,0.05173545173380208
Motorola Solutions Inc,Information Technology,2004,35.1360220407856,15.8823529411765,48.5306828003457,32.800603334999,0.16823,0.07868,1.5716175191503268
Murata Manufacturing Co Ltd,Information Technology,2004,38.3422773191268,69.44969345763,25.7107709130673,17.5746863519789,0.066,0.02186348526714357,0.7155108886575371
NEC Corp,Information Technology,2004,52.5542676868451,33.5867446393762,26.6944545125046,80.5126970567679,0.11199999999999999,0.02610425717936563,0.44466713524663903
NTT Data Group Corp,Information Technology,2004,25.0344090669418,0.0,14.9365712214571,41.2400921539696,0.043,0.003990153217371625,0.29264983119463317
NVIDIA Corp,Information Technology,2004,15.8080268842601,0.0,21.8742985409652,24.7683109118087,0.21586,0.1643,3.2016392597689554
NatWest Group PLC,Financials,2004,65.8412857419562,85.3746054952195,56.4779375661814,82.2869668728044,0.14389,0.0079,0.10854310888964668
National Australia Bank Ltd,Financials,2004,56.5846449754019,62.5571451777592,65.2201441262247,53.6562420544114,0.17143899999999998,0.013231999999999999,0.0508098583440677
National Bank of Canada,Financials,2004,29.7410830446904,25.8145363408521,29.978171234538,41.310861423221,0.1364,0.0007000000000000001,0.025927551505295736
NetApp Inc,Information Technology,2004,20.6475582222497,0.0,17.5467289719626,43.3836689038032,0.1431,0.114,4.234451410597531
Nokia Oyj,Information Technology,2004,67.1911231884058,70.4411764705882,42.4508426966292,89.8148148148149,0.27026,0.16079999999999997,2.06395409455943
Nomura Holdings Inc,Financials,2004,60.0029825142389,26.4756944444445,51.8301435406698,84.9053857350801,0.052000000000000005,0.0024495399825277637,0.10337866498613753
Nomura Research Institute Ltd,Information Technology,2004,46.7795824125405,0.0,41.8366557931618,65.0698661696565,0.071,0.025250348003770264,0.9042023738707414
Northern Trust Corp,Financials,2004,38.2649125746459,26.4756944444445,43.0023923444976,45.7438478747204,0.16229,0.01094,0.21173413941827765
ORIX Corp,Financials,2004,40.8022738215423,25.562372188139,20.4680387888383,85.1392405063292,0.142,0.007997275958481528,0.21033621679945944
Obic Co Ltd,Information Technology,2004,28.4785776102088,0.0,6.86118158753172,55.6371308016878,0.10099999999999999,0.025664494842261888,0.7184252584375846
Omron Corp,Information Technology,2004,44.1715078643955,37.7970941463005,32.3400765445599,67.333125389894,0.10400000000000001,0.03183493457154171,0.6406318907335147
Open Text Corp,Information Technology,2004,19.8059831078383,0.0,14.2986589343965,30.4901960784314,0.0941,0.061,0.04829466746575704
Oracle Corp,Information Technology,2004,20.2710927226849,0.0,33.5080645161291,14.9539170506913,0.3223,0.1689,3.04676025116885
Otsuka Corp,Information Technology,2004,7.31298250039456,0.0,7.04459203036054,9.73799126637555,0.207,0.023126956047379136,0.8148861136526777
Oversea-Chinese Banking Corporation Ltd,Financials,2004,24.4945697577277,25.8145363408521,21.3376182391462,38.641975308642,0.10678000000000001,0.02166,0.027405882192169058
PNC Financial Services Group Inc,Financials,2004,56.2811980092097,47.4470319316811,54.0897878054696,73.1599552572707,0.15234999999999999,0.0141,0.1964995626020619
PTC Inc,Information Technology,2004,28.8345270591573,0.0,37.2733502002952,30.2181208053691,0.2692,0.1108,2.1511354240849685
Paragon Banking Group PLC,Financials,2004,17.7317901495311,25.8145363408521,20.1370361387339,21.5106117353308,0.19638999999999998,0.010360000000000001,0.05158936774830108
PayPoint plc,Financials,2004,13.1378113490987,0.0,13.5163043478261,21.8506493506494,0.8687999999999999,0.3093,0.8547876857882827
Power Corporation of Canada,Financials,2004,5.5870914781181,28.3333333333333,4.36399217221135,8.87640449438203,0.1412,0.0088,0.01926781564715218
Principal Financial Group Inc,Financials,2004,27.6344032495245,28.3333333333333,29.1389432485323,27.9362416107383,0.11869999999999999,0.0068000000000000005,0.10459746650823314
Progressive Corp,Financials,2004,35.8352997660711,28.3333333333333,64.4553163731246,14.3903803131991,0.23227,0.0751,1.218868618336808
QBE Insurance Group Ltd,Financials,2004,28.07213288333,28.3333333333333,13.4050880626223,54.5410628019324,0.22937000000000002,0.04229599999999999,0.2601117135022054
Qualcomm Inc,Information Technology,2004,24.9420585806012,3.81944444444445,21.9480519480519,55.2293064876958,0.1772,0.15789999999999998,5.676063742174846
Rathbones Group PLC,Financials,2004,21.6421611804973,31.2375992063492,26.3755980861244,22.70911360799,0.19916,0.037919999999999995,0.13125842449249006
Regions Financial Corp,Financials,2004,13.6797547560176,25.8145363408521,15.6985204947853,16.3702460850112,0.105,0.0131,0.1844970481610073
Renishaw PLC,Information Technology,2004,22.1821538919552,3.29218106995884,25.8337889557135,40.0624219725344,0.2274,0.16232,0.9137781749701008
Resona Holdings Inc,Financials,2004,28.7298656519376,25.562372188139,3.65129625964774,74.7745075198675,0.3657,0.006746123723406962,0.09104467749202579
Ricoh Co Ltd,Information Technology,2004,28.185840747454,17.1875,15.7929226736566,62.4312053788036,0.1,0.051976967492565355,0.8633676293650356
Roper Technologies Inc,Information Technology,2004,31.6729327123614,0.0,46.7220113851993,28.2158836689038,0.11911,0.05934999999999999,1.343949495477551
Royal Bank of Canada,Financials,2004,52.0703680068903,64.1995614035088,51.8938968191525,58.8202247191011,0.20370999999999997,0.0021471222798829692,0.03244313908912174
SAP SE,Information Technology,2004,49.7780046037267,0.0,39.4070208728653,73.641975308642,0.2876,0.17977,0.7467521639324403
SBI Holdings Inc,Financials,2004,32.9214035506318,26.4756944444445,29.4258373205742,45.7496360989811,0.29,0.0013473532091828264,0.03490515476474575
STMicroelectronics NV,Information Technology,2004,49.5105976274807,52.1990740740741,51.9480519480519,42.2626262626262,0.044500000000000005,0.03,0.6409364534858761
STMicroelectronics NV,Information Technology,2004,49.5105976274807,52.1990740740741,51.9480519480519,42.2626262626262,0.044500000000000005,0.03,0.6409364534858761
Sage Group PLC,Information Technology,2004,37.8287505540664,7.01754385964912,30.695904313157,53.2142857142858,0.1805,0.10220000000000001,1.173290472599645
Sampo Oyj,Financials,2004,54.4819888381533,80.5555555555556,41.3502935420743,70.5555555555556,0.2429,0.023399999999999997,0.39115211114927306
Schroders PLC,Financials,2004,11.9865116017121,46.4814814814815,19.3667763157895,3.73913043478261,0.13817000000000002,0.05628999999999999,0.1823041542287831
Scor SE,Financials,2004,49.1617336395152,28.3333333333333,44.5988258317025,70.8723706284682,0.0858,0.0096,0.05398965265924061
Seagate Technology Holdings PLC,Information Technology,2004,34.6063498713268,4.72727272727273,49.4158878504673,33.0952380952381,0.2707,0.1311,1.8316646858657495
Seiko Epson Corp,Information Technology,2004,27.550306987964,13.9,29.2199856218548,35.9479692474955,0.126,0.05622203702967973,0.528684996315882
Singapore Exchange Ltd,Financials,2004,21.0969801643377,26.4756944444445,14.8325358851675,32.7160493827161,0.196341,0.107772,0.6190128516657182
Skandinaviska Enskilda Banken AB,Financials,2004,50.2951031424716,30.9071289334447,59.1195731263643,56.2179487179487,0.15536,0.00482,0.042597663822189824
Societe Generale SA,Financials,2004,41.6761670436253,43.0709296389121,31.4152316274557,65.5813653374629,0.1833,0.0060999999999999995,0.03273686124640711
Spectris PLC,Information Technology,2004,23.2668677699673,11.1111111111111,39.9358974358974,21.0112359550562,0.18029,0.06759,0.42399399437658714
Spirent Communications plc,Information Technology,2004,39.1135501146642,0.0,40.885834670947,59.5253026739831,0.11889,0.041100000000000005,1.3390656126660812
St James's Place PLC,Financials,2004,25.2980168268459,71.7137896825397,19.9162679425837,23.8605812501815,0.1534,0.00398,0.008419920074438904
Standard Chartered PLC,Financials,2004,45.9848649233388,76.7987677527151,48.9833947575469,40.8863920099875,0.1711,0.01058,0.030482396239253112
State Street Corp,Financials,2004,64.0854656581263,42.0841600529101,66.566985645933,76.5330599055431,0.1482,0.0096,0.1855610352155806
Storebrand ASA,Financials,2004,38.1187896731938,46.3169642857143,44.7966507177034,37.962962962963,0.1429,0.0074,0.025462355233131867
Sumitomo Mitsui Financial Group Inc,Financials,2004,43.7542462868927,75.1894203100343,22.4068728075105,71.9505094614265,-0.23,-0.0011164445825562102,0.03967795294045922
Suncorp Group Ltd,Financials,2004,32.1501348091387,27.2093023255814,18.2758620689655,59.0534979423869,0.193403,0.017225,0.10928374015985395
Svenska Handelsbanken AB,Financials,2004,61.6081339712919,78.6549707602339,70.9389400921659,52.2222222222223,0.17894,0.00784,0.051884777417987644
Swedbank AB,Financials,2004,31.306007150744,38.7609649122807,33.5617268978899,35.541958041958,0.2347,0.010700000000000001,0.05310449925829281
Swiss Re AG,Financials,2004,74.5420444267973,93.8888888888889,65.7077625570776,87.8442028985507,0.08194000000000001,0.00855,0.18540456913722894
Sydbank A/S,Financials,2004,6.80831490490933,25.8145363408521,10.1685665777347,4.90196078431373,0.19870000000000002,0.0105,0.062420274056653575
T Rowe Price Group Inc,Financials,2004,27.1534677722736,26.4756944444445,24.4019138755981,37.6230425055929,0.2116,0.1865,4.074204727064512
T&D Holdings Inc,Financials,2004,53.9318896133301,42.9764980927772,42.3839379011793,80.1260645595506,0.066,0.0030333509008685358,0.14083030306150257
TDK Corp,Information Technology,2004,42.5103929568176,15.7281431090955,35.1831601968289,84.2559090594025,0.055,0.013935083806264606,0.40682894699396965
TMX Group Ltd,Financials,2004,29.5545840897183,26.4756944444445,41.566985645933,28.2771535580524,0.5813,0.0664,0.09808196801463258
Telefonaktiebolaget LM Ericsson,Information Technology,2004,65.9945950788342,13.3823529411765,81.6563001605136,80.3205128205128,0.26,0.1231,2.0981799029471833
Teradyne Inc,Information Technology,2004,21.6409541241756,0.0,16.0606060606061,56.8176733780761,-0.0066,-0.0044,1.542605859774419
Texas Instruments Inc,Information Technology,2004,61.784368053144,53.7268518518519,70.1443001443001,57.659499544287,0.1984,0.1572,3.444928168848835
Tokyo Electron Ltd,Information Technology,2004,51.6585070438563,66.9642857142857,36.7789001122334,57.8429240765189,0.203,0.03551497097013654,0.6990887312345679
Travelers Companies Inc,Financials,2004,23.3432318960498,28.3333333333333,19.8630136986301,35.1845637583893,0.0931,0.01789958210748584,0.2732799366028784
Truist Financial Corp,Financials,2004,14.7016349598829,25.8145363408521,17.1173902498181,17.2539149888143,0.15125,0.016,0.20818579744462765
Tryg A/S,Financials,2004,19.6741337630943,28.3333333333333,14.6966731898239,32.0392156862745,0.28300000000000003,0.054000000000000006,0.23731680560731597
UBS Group AG,Financials,2004,61.5997311804363,42.6132605820106,70.1555023923445,75.018115942029,0.21562,0.005180000000000001,0.06614685219187771
US Bancorp,Financials,2004,46.6012534610384,25.8145363408521,44.0303650550452,68.7838677603779,0.2235,0.021400000000000002,0.2591868730012174
Unipol Assicurazioni SpA,Financials,2004,31.0917155903458,28.3333333333333,25.8904109589041,47.5238095238095,0.05701,0.007019999999999999,0.0707795378096556
United Overseas Bank Ltd,Financials,2004,18.2175438596491,25.8145363408521,18.7181663837012,24.8148148148148,0.120488,0.02633,0.03428752791268174
"VeriSign, Inc",Information Technology,2004,27.0469012124786,0.0,21.4468690702087,39.9832214765101,0.1363,0.0873,1.7647809861349046
W R Berkley Corp,Financials,2004,21.4734761423187,28.3333333333333,10.3913894324853,41.5604026845638,0.20797999999999997,0.03841,0.4366928432062464
Wells Fargo & Co,Financials,2004,34.9443332098457,25.8145363408521,33.7032589341174,50.6319910514542,0.18866,0.01592,0.21809873045883577
Western Digital Corp,Information Technology,2004,7.68726997185538,0.0,4.41588785046728,19.927293064877,0.30579999999999996,0.1352,2.526864534810525
Westpac Banking Corp,Financials,2004,61.9104881425696,88.6826441102757,55.3051764413579,61.3348588863463,0.214231,0.01927,0.04100650374367896
Yokogawa Electric Corp,Information Technology,2004,59.2283632251471,89.6741412614428,41.1837069436851,46.3519789283982,0.057,0.019970796631769608,0.97347906832515
Zurich Insurance Group AG,Financials,2004,50.8680210883904,59.4444444444444,31.6046966731898,79.9275362318841,0.14934,0.009649999999999999,0.08574767030849653
3i Group PLC,Financials,2005,20.9075620500491,42.7407407407407,29.0268941584731,27.2338247338247,0.22114999999999999,0.14046,0.41611122727798766
AIB Group PLC,Financials,2005,46.2879146602987,29.2008698407212,35.7411438749258,77.8787878787879,0.22576000000000002,0.01418,0.1727796244729472
ANZ Group Holdings Ltd,Financials,2005,36.1487238316379,84.8336834733894,64.4696460573476,74.6913580246914,0.19599,0.04559,0.05754539280300808
ASML Holding NV,Information Technology,2005,33.1511770045605,42.1957671957672,42.3456790123456,38.5087719298246,0.32298000000000004,0.16210999999999998,0.25372571977809943
